trace_name,wsr,allocator,rebalance_strategy,cpu_cycles_for_serving_requests,pool_rebalancer_cpu_cycles,rebalance_cycle_pct,throughput
meta_202206_kv,0.1,TinyLFU,hits,7900381888356,86815866252,0.010988818955695522,404506.6707261145
meta_202206_kv,0.1,TinyLFU,hits,7849278877057,81848612338,0.010427532722431214,409015.9529828556
meta_202206_kv,0.1,TinyLFU,hits,7947200335326,83499711574,0.010506808442066886,401163.2536961394
meta_202206_kv,0.1,LRU,lama,5582568712757,5678493484654,1.0171829093080031,562856.9928052766
meta_202206_kv,0.1,LRU,lama,5511772397850,5680504622742,1.0306130610469,563870.6854399019
meta_202206_kv,0.1,LRU,lama,5581629761884,5701988333021,1.0215633383566407,555890.3569650969
meta_202206_kv,0.01,TinyLFU,disabled,5355839783012,23382,4.365701915536111e-09,582353.8889476544
meta_202206_kv,0.01,TinyLFU,disabled,5248551737703,51018,9.720395749081012e-09,598646.3571671016
meta_202206_kv,0.01,TinyLFU,disabled,5224414081586,50898,9.742336500354247e-09,597276.3882176422
meta_202206_kv,0.01,LRU,disabled,4288742797159,17961,4.1879405806051e-09,721690.8223426508
meta_202206_kv,0.01,LRU,disabled,4220243400259,20320,4.814888164685701e-09,721063.4325129612
meta_202206_kv,0.01,LRU,disabled,4281657086289,19106,4.462291027738413e-09,711589.5850229925
meta_202206_kv,0.1,LRU,marginal-hits,6218625596647,82121948079,0.013205803565868165,506232.86792665813
meta_202206_kv,0.1,LRU,marginal-hits,6199797492181,74471499849,0.012011924573814102,512411.612812821
meta_202206_kv,0.1,LRU,marginal-hits,6200883375797,84737065914,0.01366532166122359,510682.23927280935
meta_202206_kv,0.1,TinyLFU,marginal-hits,7986506797354,86194167551,0.010792474073841256,401940.6126129065
meta_202206_kv,0.1,TinyLFU,marginal-hits,7930286785665,87101075779,0.010983345007956868,403766.5810345196
meta_202206_kv,0.1,TinyLFU,marginal-hits,7938425059660,86726810506,0.010924939122586423,403651.65122969553
meta_202206_kv,0.01,LRU,tail-age,4127293100113,1010719961415,0.24488688757949556,567832.5456997203
meta_202206_kv,0.01,LRU,tail-age,4155484900289,1012461949570,0.2436447186944625,555951.7461428564
meta_202206_kv,0.01,LRU,tail-age,4134407963487,1010932565845,0.24451688724795548,561003.9865222011
meta_202206_kv,0.1,LRU,disabled,4648151512774,23754,5.110418611510299e-09,661987.5331505615
meta_202206_kv,0.1,LRU,disabled,4580977527199,48275,1.053814381611196e-08,669256.3274014532
meta_202206_kv,0.1,LRU,disabled,4626976635034,51655,1.1163877424598325e-08,662961.0927890057
meta_202206_kv,0.1,TwoQ,marginal-hits,6122554579839,185204128969,0.030249485987247852,514494.7286661899
meta_202206_kv,0.1,TwoQ,marginal-hits,6168236089441,192641994135,0.031231293896932907,512870.42376131355
meta_202206_kv,0.1,TwoQ,marginal-hits,6124797291596,183214546734,0.029913569055647547,516357.5779164472
meta_202206_kv,0.01,TinyLFU,hits,4866225230343,354475283051,0.07284399432247704,637875.2217884794
meta_202206_kv,0.01,TinyLFU,hits,4789090467341,342856807980,0.07159121555921683,651811.0928295668
meta_202206_kv,0.01,TinyLFU,hits,4776755143355,350669739093,0.07341170492710324,654057.0339091623
meta_202206_kv,0.1,TwoQ,disabled,4768847906978,20426,4.283214813815246e-09,653335.1195793439
meta_202206_kv,0.1,TwoQ,disabled,4718475150601,74527,1.5794721307477348e-08,654465.2969921042
meta_202206_kv,0.1,TwoQ,disabled,4682905372200,46159,9.856914955835374e-09,660056.8947706557
meta_202206_kv,0.01,LRU,marginal-hits,4152713742977,260771961034,0.06279555422644124,731843.559437493
meta_202206_kv,0.01,LRU,marginal-hits,4102490215722,259039458706,0.06314200524190927,752061.1003981698
meta_202206_kv,0.01,LRU,marginal-hits,4069324857042,263353844014,0.06471683959029813,752007.2529205964
meta_202206_kv,0.1,TinyLFU,eviction-rate,5410767666818,252369101487,0.04664201404075716,576124.2120336063
meta_202206_kv,0.1,TinyLFU,eviction-rate,5158919177067,232899646257,0.04514504652298321,609179.7403011807
meta_202206_kv,0.1,TinyLFU,eviction-rate,5258508635450,242993980707,0.04620967607980464,593862.2605862125
meta_202206_kv,0.1,LRU,eviction-rate,4358300360265,236209907218,0.054197711881343945,703210.9281186089
meta_202206_kv,0.1,LRU,eviction-rate,4294389032880,237612403667,0.05533089849282868,718696.5720261955
meta_202206_kv,0.1,LRU,eviction-rate,4382031438421,241004771538,0.05499841224891862,697936.1094187313
meta_202206_kv,0.1,TinyLFU,tail-age,5427201682459,1351578011304,0.24903773443179214,460368.0216239865
meta_202206_kv,0.1,TinyLFU,tail-age,5443687738580,1338180484487,0.24582241832189805,460103.11420826754
meta_202206_kv,0.1,TinyLFU,tail-age,5436236428785,1405210791402,0.25848963889086496,457961.38228963764
meta_202206_kv,0.1,TwoQ,marginal-hits-tuned,6312185365231,40283245779,0.006381822371834893,499329.8676535522
meta_202206_kv,0.1,TwoQ,marginal-hits-tuned,6299368741836,39304702538,0.006239466865459973,502346.6014062125
meta_202206_kv,0.1,TwoQ,marginal-hits-tuned,6275951875015,43682875896,0.006960358646136941,501810.5177489821
meta_202206_kv,0.01,TwoQ,lama,5106131207540,5508235608355,1.0787493279101856,601370.7964794363
meta_202206_kv,0.01,TwoQ,lama,5052227455573,5447908846040,1.078318205968841,604119.30362394
meta_202206_kv,0.01,TwoQ,lama,5007719586421,5416093315617,1.0815488411738052,611500.6533985393
meta_202206_kv,0.01,LRU,hits,4050582575717,363283847889,0.08968681445154703,754000.593786308
meta_202206_kv,0.01,LRU,hits,3997953637908,357114955517,0.08932443641439192,761317.3725907161
meta_202206_kv,0.01,LRU,hits,4018186357061,364367133469,0.0906795009217808,752108.2265705895
meta_202206_kv,0.1,TinyLFU,disabled,5450124264322,49697,9.118507687123781e-09,584296.740626018
meta_202206_kv,0.1,TinyLFU,disabled,5542906020002,18790,3.3899185611653614e-09,563215.8495438189
meta_202206_kv,0.1,TinyLFU,disabled,5539584574566,45245,8.167579967590752e-09,571337.6253392706
meta_202206_kv,0.1,LRU,disabled,4612923025650,22256,4.824706563765811e-09,673332.9623589097
meta_202206_kv,0.1,LRU,disabled,4535539864131,47791,1.0537003627275285e-08,684367.1246367303
meta_202206_kv,0.1,LRU,disabled,4599409204826,48783,1.0606362214697857e-08,668590.0017613556
meta_202206_kv,0.01,TinyLFU,marginal-hits-tuned,5165270656365,36877456594,0.007139501305426672,607203.6459601363
meta_202206_kv,0.01,TinyLFU,marginal-hits-tuned,5236149046043,37412706895,0.007145080586136692,592194.7950752204
meta_202206_kv,0.01,TinyLFU,marginal-hits-tuned,5171439174022,37169014524,0.007187363763401363,606651.1772495587
meta_202206_kv,0.1,TwoQ,free-mem,4662986790195,28889369078,0.006195464490430582,658986.7234540911
meta_202206_kv,0.1,TwoQ,free-mem,4670554269852,28448771928,0.00609109118196832,654843.8166193878
meta_202206_kv,0.1,TwoQ,free-mem,4736799867281,28589014855,0.006035512509716937,650293.7863830493
meta_202206_kv,0.01,TinyLFU,tail-age,5235424105048,1152137134652,0.22006567405706606,464560.00688563695
meta_202206_kv,0.01,TinyLFU,tail-age,5182915939718,1141814743268,0.2203035427447287,469442.5362708137
meta_202206_kv,0.01,TinyLFU,tail-age,5211382045950,1176843142772,0.22582169804391483,464143.5451910589
meta_202206_kv,0.1,TinyLFU,marginal-hits-tuned,7877174375130,42283238044,0.0053678179548110085,407024.2157285849
meta_202206_kv,0.1,TinyLFU,marginal-hits-tuned,8039522353893,40534464172,0.0050418995541907895,399465.14073112706
meta_202206_kv,0.1,TinyLFU,marginal-hits-tuned,7954118219821,39981358476,0.005026497893427053,401743.8842960319
meta_202206_kv,0.01,LRU,free-mem,4167763172059,26801843428,0.006430750098201737,736108.4680573338
meta_202206_kv,0.01,LRU,free-mem,4151029319420,26646432250,0.006419234893219968,736569.9148179922
meta_202206_kv,0.01,LRU,free-mem,4120903045816,24099848305,0.005848195901980478,745106.0145987209
meta_202206_kv,0.01,TinyLFU,eviction-rate,5167781719927,229990553052,0.04450469573146926,598448.6713118333
meta_202206_kv,0.01,TinyLFU,eviction-rate,5159532060059,232288810188,0.045021294079398304,602071.4175787609
meta_202206_kv,0.01,TinyLFU,eviction-rate,5154507958029,236510227525,0.045884152173360435,610454.5392685599
meta_202206_kv,0.01,TwoQ,disabled,4354260691323,20139,4.62512500460347e-09,711493.7442015515
meta_202206_kv,0.01,TwoQ,disabled,4322598735441,48133,1.1135199667125562e-08,706229.3755080571
meta_202206_kv,0.01,TwoQ,disabled,4349269620358,48118,1.1063466788715499e-08,709328.9352731123
meta_202206_kv,0.01,LRU,lama,4905080297168,5238858840724,1.0680475187630896,628848.1433999185
meta_202206_kv,0.01,LRU,lama,4881641621298,5190313102054,1.063231081816679,631563.6590082733
meta_202206_kv,0.01,LRU,lama,4960309091224,5376024670164,1.0838084021166146,616897.9607409947
meta_202206_kv,0.1,TwoQ,disabled,4709638100080,42302,8.982006494146851e-09,652125.2635478872
meta_202206_kv,0.1,TwoQ,disabled,4710767768073,41198,8.745495857218317e-09,658212.7796398445
meta_202206_kv,0.1,TwoQ,disabled,4601794756568,47625,1.0349222970456539e-08,670228.3169506509
meta_202206_kv,0.1,TinyLFU,lama,6855414432013,6892402132589,1.0053953996425478,461427.0470529911
meta_202206_kv,0.1,TinyLFU,lama,6938484804057,6932853847377,0.9991884457718049,456847.1148872084
meta_202206_kv,0.1,TinyLFU,lama,6968685396227,6903531144288,0.9906504242573103,456500.31519427965
meta_202206_kv,0.1,TinyLFU,disabled,5548821348607,52072,9.384335290065228e-09,565698.8018720275
meta_202206_kv,0.1,TinyLFU,disabled,5647502196246,54119,9.582820531875828e-09,555333.6774496558
meta_202206_kv,0.1,TinyLFU,disabled,5666561269690,52476,9.26064283125113e-09,556985.4035330855
meta_202206_kv,0.1,TwoQ,hits,6350341531865,84211574007,0.013260951963676246,500391.0719035236
meta_202206_kv,0.1,TwoQ,hits,6218811263466,84626208643,0.013608100496658958,510371.13839927485
meta_202206_kv,0.1,TwoQ,hits,6331103854105,86298632665,0.01363089828467198,498247.68725978554
meta_202206_kv,0.01,TinyLFU,free-mem,5162155471648,29671728832,0.005747933977379299,601817.0979562291
meta_202206_kv,0.01,TinyLFU,free-mem,5168328204730,29290304963,0.005667268757466645,603231.1747668684
meta_202206_kv,0.01,TinyLFU,free-mem,5185069530534,26728902105,0.00515497467248954,598318.8537599525
meta_202206_kv,0.1,TinyLFU,free-mem,5512200124839,28336877361,0.005140756271404,566457.8995491829
meta_202206_kv,0.1,TinyLFU,free-mem,5533144712769,28460301095,0.005143603244159028,568343.1812304299
meta_202206_kv,0.1,TinyLFU,free-mem,5516747615922,28267952262,0.0051240249201205575,568870.4909240957
meta_202206_kv,0.01,TwoQ,disabled,4312732793075,49134,1.1392776310856767e-08,705492.0985069085
meta_202206_kv,0.01,TwoQ,disabled,4269004927697,50293,1.1780965553284466e-08,716275.0108183394
meta_202206_kv,0.01,TwoQ,disabled,4304586749613,50502,1.1732136657378397e-08,713274.3736917627
meta_202206_kv,0.01,LRU,disabled,4109262480970,21103,5.135471413113186e-09,749578.1974783282
meta_202206_kv,0.01,LRU,disabled,4115593954565,50360,1.2236386911818863e-08,744998.0567993858
meta_202206_kv,0.01,LRU,disabled,4100195020627,42442,1.035121495111464e-08,738054.9288384819
meta_202206_kv,0.01,TwoQ,marginal-hits-tuned,4348580520606,38709172348,0.008901565042793701,710299.9757309986
meta_202206_kv,0.01,TwoQ,marginal-hits-tuned,4352511412357,37543102325,0.008625618354133027,702086.0573335363
meta_202206_kv,0.01,TwoQ,marginal-hits-tuned,4322429700449,39157238825,0.00905908054928747,705779.8270317183
meta_202206_kv,0.01,TinyLFU,marginal-hits,5059246695487,265348688223,0.05244826042179342,612938.697970221
meta_202206_kv,0.01,TinyLFU,marginal-hits,4899220072785,265751013514,0.054243534596504,630045.3877079214
meta_202206_kv,0.01,TinyLFU,marginal-hits,4903457206895,265002596695,0.05404403169306064,634469.647689662
meta_202206_kv,0.01,TwoQ,eviction-rate,4341671501418,244585048055,0.05633430534187535,703713.1280539883
meta_202206_kv,0.01,TwoQ,eviction-rate,4367622781184,244190639564,0.055909278753648095,696349.742876671
meta_202206_kv,0.01,TwoQ,eviction-rate,4338509212492,240348900842,0.05539896058073501,711510.47120026
meta_202206_kv,0.01,TwoQ,free-mem,4310506939113,27962095795,0.00648696225060571,716326.9272737959
meta_202206_kv,0.01,TwoQ,free-mem,4271828797171,27758903439,0.006498131071494067,709477.3030541174
meta_202206_kv,0.01,TwoQ,free-mem,4268634031261,28605594742,0.006701346269675314,725351.228459913
meta_202206_kv,0.01,TwoQ,marginal-hits,4102127314345,436828343400,0.10648824620153209,751400.9862724089
meta_202206_kv,0.01,TwoQ,marginal-hits,4114867307242,437093879569,0.10622308009780351,751120.2513120037
meta_202206_kv,0.01,TwoQ,marginal-hits,4141885482818,436878282211,0.10547811715783187,730222.6593541154
meta_202206_kv,0.1,LRU,free-mem,4553388787817,28417519555,0.006240960497604251,669365.2957673555
meta_202206_kv,0.1,LRU,free-mem,4588379468787,28393721731,0.006188180799812153,669360.1423128376
meta_202206_kv,0.1,LRU,free-mem,4588374944107,27937526990,0.00608876286927708,682190.4121718194
meta_202206_kv,0.1,LRU,hits,6158715656963,83116365820,0.013495730351835489,515169.31932651927
meta_202206_kv,0.1,LRU,hits,6227015222247,81420136396,0.013075307107828104,509348.26025528315
meta_202206_kv,0.1,LRU,hits,6144581822241,84337160824,0.013725451668449141,512945.46461825614
meta_202206_kv,0.1,LRU,tail-age,4510232118432,1263925296824,0.2802350884910572,505650.1774277009
meta_202206_kv,0.1,LRU,tail-age,4497270172769,1247324912723,0.2773515632384197,509563.3214157104
meta_202206_kv,0.1,LRU,tail-age,4487457836690,1245971994018,0.27765653502764565,508053.76590734976
meta_202206_kv,0.01,TinyLFU,disabled,5181877951728,59903,1.1560094729754134e-08,597968.0915715141
meta_202206_kv,0.01,TinyLFU,disabled,5287265537697,22826,4.317165430269355e-09,589738.6804557509
meta_202206_kv,0.01,TinyLFU,disabled,5152759623036,50893,9.876843424342373e-09,604346.6356734475
meta_202206_kv,0.01,LRU,marginal-hits-tuned,4183396535858,36103493129,0.008630186696273892,734874.5433234879
meta_202206_kv,0.01,LRU,marginal-hits-tuned,4173724350956,31807347702,0.007620854907371749,729141.388250333
meta_202206_kv,0.01,LRU,marginal-hits-tuned,4208013835575,33545089645,0.007971715625411262,724621.0592343428
meta_202206_kv,0.01,TwoQ,tail-age,4235921761141,3932882663063,0.9284597036569503,400158.15791119065
meta_202206_kv,0.01,TwoQ,tail-age,4221424741124,3841584072529,0.9100207413637644,406944.5182667567
meta_202206_kv,0.01,TwoQ,tail-age,4212941081172,3849716376255,0.9137835782844714,404647.663067177
meta_202206_kv,0.1,TwoQ,tail-age,4589224489040,5541535966858,1.2075103277454204,318699.2643887949
meta_202206_kv,0.1,TwoQ,tail-age,4612988555870,5459579624732,1.1835233403700336,327308.9108790949
meta_202206_kv,0.1,TwoQ,tail-age,4599026112561,5506998332240,1.1974270633513298,323283.18000526424
meta_202206_kv,0.01,TwoQ,hits,4123588629773,376224136763,0.09123706813201461,740628.4557130566
meta_202206_kv,0.01,TwoQ,hits,4142349214279,374625911032,0.09043803205693893,732310.6964778205
meta_202206_kv,0.01,TwoQ,hits,4116974158546,371751870772,0.09029735345807766,741909.1593035548
meta_202206_kv,0.01,LRU,eviction-rate,4225940239288,242056708560,0.05727878172758602,721480.7392641156
meta_202206_kv,0.01,LRU,eviction-rate,4171715313556,248623279889,0.05959737450949685,737465.1697055389
meta_202206_kv,0.01,LRU,eviction-rate,4172507724078,239781234309,0.05746693599278705,732606.8173970149
meta_202206_kv,0.01,TinyLFU,lama,5912512709455,6233404257000,1.054273295181564,527787.5031261833
meta_202206_kv,0.01,TinyLFU,lama,5962721643780,6307765163663,1.0578667830726145,519686.1918582531
meta_202206_kv,0.01,TinyLFU,lama,5911978523419,6291669968506,1.064224090730867,527275.800852339
meta_202206_kv,0.1,TwoQ,eviction-rate,4616106444566,248968008274,0.05393463328105893,664809.1257245239
meta_202206_kv,0.1,TwoQ,eviction-rate,4488548827835,244260665289,0.05441862719065403,683101.5525253436
meta_202206_kv,0.1,TwoQ,eviction-rate,4520303618833,244973994637,0.05419414607823281,680616.1963674164
meta_202206_kv,0.1,TwoQ,lama,5668663501258,5710841464237,1.007440548018001,551645.1112031897
meta_202206_kv,0.1,TwoQ,lama,5631511433800,5691166873868,1.0105931490629587,556740.8694771179
meta_202206_kv,0.1,TwoQ,lama,5642948391737,5721156156130,1.013859379700782,551326.901804634
meta_202206_kv,0.1,LRU,marginal-hits-tuned,6100804869107,38700601560,0.0063435239104221285,517148.1449444667
meta_202206_kv,0.1,LRU,marginal-hits-tuned,6098439315282,40111527643,0.0065773430822677935,517752.59454796364
meta_202206_kv,0.1,LRU,marginal-hits-tuned,6140382449682,38129843937,0.006209685512174356,515071.38459420216
